Order number,Method of procurement,Date issued,Supplier,Company registration Number,Description of service,Amount
A-312746,Emergency procurement through quotations,4/21/2020,Suskia Trading 1114 (PTY) Ltd,MAAA0081042,Sanitising  offices and vehicles NC,48994.60
A-312747,Emergency procurement through quotations,4/21/2020,Rentokil Intital,MAAA0102243,Sanitising  offices and vehicles EC,52066.25
A-312748,Emergency procurement through quotations,4/22/2020,Zululand Pest Control,MAAA0175067,Sanitising  offices Empangeni& Mhuze (KZN),16387.50
A-312749,Emergency procurement through quotations,4/22/2020,Total Pest Management,MAAA0576609,"Sanitising  offices Ethekweni, Ugu & Ilembe( KZN)",25416.00
A-312750,Emergency procurement through quotations,4/22/2020,Service Master,MAAA0260205,"Sanitising  offices Umzinyahti,Uthukela, Amajuba & Zululand( KZN)",5600.00
A-312601,Emergency procurement through quotations,4/22/2020,"SWAT Exteminators ( Bug Off Pest
Control)",MAAA0607020,Sanitising  offices Ixopo and Pietermaritzburg( KZN),13733.87
A-312602,Emergency procurement through quotations,4/22/2020,Rentokil Intital,MAAA0102243,Sanitising  offices Limpopo,27082.50
A-312603,Emergency procurement through quotations,4/24/2020,Sthewetha Trading,MAAA0464948,"Disinfection Benoni, Westrand, Sedibeng, Prov Office",142750.00
A-312606,Emergency procurement through quotations,4/24/2020,Happy Endings Plumbers,MAAA0585432,Disinfecting: Mpumalanga Offices,67439.45
A-312609,Emergency procurement through quotations,4/30/2020,Rentokil Initial,MAAA0102243,"Disinfection Mmabatho, Rustenburg, Mabopane, Klerksdorp and Vryburg",35777.00
A-312611,Emergency procurement through quotations,4/30/2020,Rentokil initial,MAAA0102243,Disinfection Free State Province buildings and vehicles,37637.20
A-312612,Emergency procurement through quotations,4/30/2020,Tikedi Holdings,MAAA0030777,Disinfection Piketberg Offices,27885.00
A-312615,Emergency procurement through quotations,4/30/2020,Savage Wear Production,MAAA0654359,Disinfection George D/O,14990.00
A-312616,Emergency procurement through quotations,4/30/2020,Think Smart Clean,MAAA0131428,"Disinfection Prov Office, Metro 1 and 2",22897.31
A-312618,Emergency procurement through quotations,4/30/2020,Qeda Structual Pest Management,MAAA0589205,"Pest control, deep cleaning and disi nfecting KZN offices",14700.00
A-312626,Emergency procurement through quotations,5/20/2020,The Specialists,MAAA0506984,Fogging PE Office and one vechile,2277.00
A-312627,Emergency procurement through quotations,5/26/2020,Sthewetha Trading,MAAA0464948,Wash and Disinfecting Cars - Gauteng,23575.00
A-312635,Emergency procurement through quotations,6/30/2020,Geozone Environmental,MAAA0599431,Air Quality Testing - Free State,13570.00
A-312638,Emergency procurement through quotations,6/30/2020,Red Spot Hygiene & Cleaning,MAAA0546045,Disinfection - Klerksdorp Office,6269.19
OR-066228,Emergency procurement through quotations,7/8/2020,Budget Pest Control,MAAA0113066,Fogging  Bisho Office,3848.39
A-312653,Emergency procurement through quotations,8/4/2020,Zappit Fumigation & Pest Control,MAAA0021746,Fogging Kokstad Office,4851.00
Direct with the service provider,Petty cash,3/9/2020,Hychem,Direct with the service provider,Surface Devence treatment x4,1840.00
Direct with the service provider,Facities management PPP,3/9/2020,Dip FM,Direct with the service provider,Access Cards x2000,88377.50
Direct with the service provider,Facities management PPP,4/17/2020,Servest,Direct with the service provider,Sanitation of Isibalo house,192173.05
Direct with the service provider,Facities management PPP,5/11/2020,Servest,Direct with the service provider,Sanitation of Isibalo house (wing 2 and common areas),14391.91
Direct with the service provider,Facities management PPP,6/26/2020,Servest,Direct with the service provider,Sanitation of Isibalo house,168866.58
Direct with the service provider,Facities management PPP,7/8/2020,Servest,Direct with the service provider,Sanitation of Isibalo house,208676.70
Direct with the service provider,Facities management PPP,7/13/2020,Servest,Direct with the service provider,Sanitation of Isibalo house - Air Sanitation - DPC,66318.19
Direct with the service provider,Petty cash,5/20/2020,Petty cash vouchers - EC,Direct with the service provider,"Screen reception area, Stickers, Schilzds",4830.00
Direct with the service provider,Emergency procurement through quotations,7/8/2020,Budget Pest Control,Direct with the service provider,Disinfecting: East London Office,3848.39
Direct with the service provider,Direct with the service provider,,,,,
