Date:,8/3/2020,DPME COVID-19 PROCUREMENT,,,
SCM Ref,Award date,Description,Procurement Method,Service Provider,Cost
6543,3/17/2020,Hand Sanitiser and surgical masks,DPME Cleaning and Hygiene Service provider,Staza cleaning services,28790.25
6588,4/7/2020,Glove examination latex,Request for quotations: NT Transversal,Promed Technologies,2070
6593,4/14/2020,Surgical Masks,Request for quotations: NT Transversal,Biologica Pharmaceuticals,53300
6589,4/22/2020,Hand Sanitiser,Request for quotations: CSD,Vital life Medical Distributors,17825
6595,4/28/2020,Non contact infrared Thermometers,Request for quotations: CSD,New age Medident,7544
6599,5/4/2020,Non contact infrared Thermometers,Petty Cash,Dischem,3900
6596,5/8/2020,Re-usable 3 layer cloth masks,Request for quotations: CSD,Kaytie Identity Promotionals,23000
6603,5/25/2020,Surface Disinfectant,DPME Cleaning and Hygiene Service provider,Staza cleaning services,10350
6608,6/4/2020,Deep clean GS Building,Request for quotations: CSD,Rentokil initial,9640.45
6627,6/19/2020,Hands-free Dispensers,Petty Cash,Last Mile,1700
6628,6/25/2020,Deep clean GS Building,Direct Contracting-Using previous supplier,Rentokil initial,13800
6641,7/23/2020,Empty spay bottles 200ml,Petty Cash,Foamy,825
6651,T.b.c.,PPE for staff,Request for quotations: CSD,In progress,t.b.c.
