buyer_name,order_amount,Award Date,award_date,items_description,procurement_method,supplier_name,Cost,order_amount_zar
"Department of Planning, Monitoring and Evaluation (DPME)",6543,3/17/2020,2020-03-17,Hand Sanitiser and surgical masks,DPME Cleaning and Hygiene Service provider,Staza cleaning services,28790.25,28790.25
"Department of Planning, Monitoring and Evaluation (DPME)",6588,04/07/2020,2020-04-07,Glove examination latex,Request for quotations: NT Transversal,Promed Technologies,2070.00,2070.00
"Department of Planning, Monitoring and Evaluation (DPME)",6593,4/14/2020,2020-04-17,Surgical Masks,Request for quotations: NT Transversal,Biologica Pharmaceuticals,53300.00,53300.00
"Department of Planning, Monitoring and Evaluation (DPME)",6589,4/22/2020,2020-04-22,Hand Sanitiser,Request for quotations: CSD,Vital life Medical Distributors,17825.00,17825.00
"Department of Planning, Monitoring and Evaluation (DPME)",6595,4/28/2020,2020-04-28,Non contact infrared Thermometers,Request for quotations: CSD,New age Medident,7544.00,7544.00
"Department of Planning, Monitoring and Evaluation (DPME)",6599,05/04/2020,2020-05-04,Non contact infrared Thermometers,Petty Cash,Dischem,3900.00,3900.00
"Department of Planning, Monitoring and Evaluation (DPME)",6596,05/08/2020,2020-05-08,Re-usable 3 layer cloth masks,Request for quotations: CSD,Kaytie Identity Promotionals,23000.00,23000.00
"Department of Planning, Monitoring and Evaluation (DPME)",6603,5/25/2020,2020-05-25,Surface Disinfectant,DPME Cleaning and Hygiene Service provider,Staza cleaning services,10350.00,10350.00
"Department of Planning, Monitoring and Evaluation (DPME)",6608,06/04/2020,2020-06-04,Deep clean GS Building,Request for quotations: CSD,Rentokil initial,9640.45,9640.45
"Department of Planning, Monitoring and Evaluation (DPME)",6627,6/19/2020,2020-06-19,Hands-free Dispensers,Petty Cash,Last Mile,1700.00,1700.00
"Department of Planning, Monitoring and Evaluation (DPME)",6628,6/25/2020,2020-06-25,Deep clean GS Building,Direct Contracting-Using previous supplier,Rentokil initial,13800.00,13800.00
"Department of Planning, Monitoring and Evaluation (DPME)",6641,7/23/2020,2020-07-23,Empty spay bottles 200ml,Petty Cash,Foamy,825.00,825.00
"Department of Planning, Monitoring and Evaluation (DPME)",6651,T.b.c.,,PPE for staff,Request for quotations: CSD,In progress,t.b.c,
