Entity Name|CSD Supplier Number|Sum of Commitment Amount|Sum of Payment Amount|Sum of Total Expenditure
MASIQHAME TRADING 1057|MAAA0083390|R166,907,607.32|R154,801,082.90|R321,708,690.22
Medical Plant Africa|MAAA0692961|R0.00|R54,217,280.00|R54,217,280.00
"""(blank)"""|N/A|R0.00|R50,451,675.25|R50,451,675.25
Pepkor Trading|MAAA0905651|R0.00|R47,529,712.15|R47,529,712.15
LAGOON BEACH HOTEL|MAAA0086927|R0.00|R47,033,880.40|R47,033,880.40
CAPE TOWN INTERNATIONAL CENTRE|MAAA0131667|R0.00|R44,641,928.56|R44,641,928.56
BIDVEST PROPERTIES (PTY) LTD|-|R0.00|R44,469,000.00|R44,469,000.00
TUSK CONSTRUCTION SUPPORT SERVIC|MAAA0369431|R0.00|R39,327,018.80|R39,327,018.80
GVK - SIYA ZAMA|MAAA0033304|R0.00|R37,213,000.01|R37,213,000.01
SSEM MTHEMBU|MAAA0200348|R0.00|R36,647,074.53|R36,647,074.53
Pta Agencies|MAAA0028803|R0.00|R32,914,079.16|R32,914,079.16
RESPIRATORY CARE AFRICA|MAAA0006239|R0.00|R28,594,135.62|R28,594,135.62
Arc Technology|MAAA0448977|R0.00|R27,236,600.00|R27,236,600.00
FCB CAPE TOWN|MAAA0236791|R8,091,014.00|R18,891,026.55|R26,982,040.55
STIEGELMEYER|MAAA0006826|R0.00|R26,647,804.60|R26,647,804.60
ARJO HUNTLEIGH|MAAA0005800|R0.00|R26,152,412.35|R26,152,412.35
EDGE-2-EDGE|-|R0.00|R25,500,000.00|R25,500,000.00
ALLORO AFRICA ENVIRO SERVICES|MAAA0022706|R0.00|R25,327,564.01|R25,327,564.01
CHATTELS|MAAA0057233|R0.00|R24,370,570.13|R24,370,570.13
Greenstar Power Solutions|MAAA0455361|R0.00|R22,915,000.00|R22,915,000.00
UMANYANO TRAVEL SERVICES PTY LTD|MAAA0920878|R0.00|R22,498,861.81|R22,498,861.81
Promed Technologies|MAAA0352514|R0.00|R18,288,481.50|R18,288,481.50
SCAN DISPLAY|MAAA0042477|R0.00|R17,866,000.00|R17,866,000.00
SERVICE PRODUCTS|MAAA0470690|R0.00|R17,479,733.75|R17,479,733.75
BIOEARTH LABORATORIES|MAAA0591446|R0.00|R14,893,535.00|R14,893,535.00
Walking Tall Trading & Projects 99/Trading|MAAA0147333|R0.00|R14,375,000.00|R14,375,000.00
STELMED|MAAA0135837|R29,500.00|R13,319,183.74|R13,348,683.74
MOBILIA|MAAA0493569|R0.00|R12,452,852.14|R12,452,852.14
RICTS|MAAA0165875|R0.00|R11,963,186.27|R11,963,186.27
SHINE THE WAY 1065 CC|MAAA0214164|R0.00|R11,500,000.00|R11,500,000.00
SCAN DISPLAY SOLUTIONS (PTY) LTD|MAAA0042477|R0.00|R11,405,656.90|R11,405,656.90
Zans African Medical|MAAA0023543|R0.00|R11,012,576.52|R11,012,576.52
SANBONANI|MAAA0005799|R0.00|R10,988,832.92|R10,988,832.92
BIOCLIN SOLUTIONS|MAAA0007987|R0.00|R10,376,714.50|R10,376,714.50
Medhold|MAAA0098098|R0.00|R8,896,485.48|R8,896,485.48
HG Travelling Services|MAAA0233559|R0.00|R8,798,600.00|R8,798,600.00
TUSK CONSTRUCTION SUPPORT SERVICES|MAAA0369431|R0.00|R8,384,448.75|R8,384,448.75
MEDICAL RENOVATIONS|MAAA0262138|R0.00|R8,259,828.43|R8,259,828.43
AXIM|MAAA0748884|R0.00|R7,785,469.89|R7,785,469.89
FSM|MAAA0001393|R0.00|R7,325,841.98|R7,325,841.98
AFRI.CAN|MAAA0908018|R0.00|R7,207,350.33|R7,207,350.33
MUSTER PROPERTY SERVICES (PTY)|MAAA0838368|R0.00|R6,874,091.19|R6,874,091.19
Atlantic Conversions|MAAA0902801|R0.00|R6,492,635.50|R6,492,635.50
IKHAYAPLAIN|MAAA0076959|R0.00|R6,250,000.00|R6,250,000.00
Swartz Networks Solutions|MAAA0755337|R0.00|R6,213,700.00|R6,213,700.00
TOPSHELL|MAAA0657885|R0.00|R5,432,825.41|R5,432,825.41
SUPRA HEALTHCARE|MAAA0091094|R0.00|R5,053,100.00|R5,053,100.00
EAST COAST MEDICAL|MAAA0078920|R0.00|R4,784,645.88|R4,784,645.88
GL EVENTS|MAAA0061230|R0.00|R4,769,165.56|R4,769,165.56
GRANDSTAND LOGISTICS|MAAA0901519|R0.00|R4,727,882.30|R4,727,882.30
Multisurge|MAAA0004727|R0.00|R4,667,740.34|R4,667,740.34
BECTON & DICKINSON|MAAA0009097|R0.00|R4,637,203.46|R4,637,203.46
AFROX|MAAA0078110|R0.00|R4,629,240.64|R4,629,240.64
Oracle Corporation (South Africa) (Pty) Ltd|MAAA0094612|R4,560,800.00|R0.00|R4,560,800.00
SPIRAMED|MAAA0468544|R0.00|R4,409,998.90|R4,409,998.90
HOUW HOEK HOTEL|MAAA0499170|R0.00|R4,316,070.00|R4,316,070.00
MADGE COMPUTERS|MAAA0004165|R0.00|R4,233,538.80|R4,233,538.80
COZI HIRING|MAAA0002956|R0.00|R4,096,778.80|R4,096,778.80
PRO SYNERGY ENTERPRISES|MAAA0004075|R0.00|R4,062,572.00|R4,062,572.00
PRIMACARE|MAAA0912038|R0.00|R3,934,925.00|R3,934,925.00
BPESA WESTERN CAPE|MAAA0734864|R0.00|R3,891,312.50|R3,891,312.50
A&S Suppliers|MAAA0250032|R0.00|R3,827,480.00|R3,827,480.00
INTERMED|MAAA0162480|R0.00|R3,585,177.79|R3,585,177.79
LEAD LAUNDRY AND CATERING|MAAA0003661|R0.00|R3,561,929.50|R3,561,929.50
WEST COAST TECHNOLOGY|MAAA0184451|R0.00|R3,445,886.15|R3,445,886.15
MOKGATSHELWA TRADING AND PROJECT|MAAA0051963|R0.00|R2,773,095.98|R2,773,095.98
Rapitrade 458 Pty Ltd|MAAA0177467|R0.00|R2,665,062.70|R2,665,062.70
ABDA BUILDING AND INTERIOR PROJECTS|MAAA0028674|R0.00|R2,620,000.00|R2,620,000.00
ZAF Construction|MAAA0111924|R0.00|R2,599,087.00|R2,599,087.00
