buyer_name ,supplier_name ,amount_value_zar ,items_description ,items_quantity ,director_names ,director_surnames ,director_names_and_surnames ,company_registration_number ,central_supplier_database_number ,implementation_location ,implementation_location_province ,implementation_location_district_municipality ,implementation_location_local_municipality ,implementation_location_facility ,implementation_location_other ,procurement_method 
,Triple Power,R7 980,"57  (1 liter) hand
Sanitizer (March)",,,,,,,,,,,,,
,"Marce Fire Fighting
Technology","R13 450 (R13 800 –
R350 discount)","10 Splash Suits
(Disposable overalls)
Once-off  (April)",,,,,,,,,,,,,
,"Moolfson’s Pharmacy
(Hatfield)",R550,10 N95 Masks (April),,,,,,,,,,,,,
,Slip pending,R 4 600,"Social distancing
signage",,,,,,,,,,,,,
,Slip pending,R  732,"Social distancing
tape",,,,,,,,,,,,,
,"BlackDot Cleaning
Company",R2 392,1300 large gloves,,,,,,,,,,,,,
,"BlackDot Cleaning
Company",R 7 595,260 masks,,,,,,,,,,,,,
,"Universal Signs &
Advertising (Pty) Ltd",R8 096,"176 Decal round
social distancing
300mm",,,,,,,,,,,,,
,"Universal Signs &
Advertising (Pty) Ltd",R3 881,"75 ABS plastic
boards 300mm x
400mm",,,,,,,,,,,,,
