Date of procurement,Items Procured including quantities per item ,Procurement process/ method followed ( prescripts)e.g. Practice Note 3 of 2016/17 OR Practice Note 5 of 2020/21,"Name of entity
",Entity directors/owners ,Date of first registration of the entity with CIPC, unit cost for each item ,Total Transaction,"Date of delivery of goods 
","Indicate if the company registration includes supply of PPE as a service that they render 
"
19 March 2020,350 x Digital Pen Thermometers,Procurement via quotations (DOH365/2019- 2020),"Unicore Holdings 

",Zahira Hansa Uranbileg Dashzeveg,7 January 2011,"R1,010.79","R353,527.82 
","Two partial deliveries on 16 April 2020 and 17 April 2020","Yes Medical facility products and Mobile medical services products. 
"
27 March 2020,8 x fixed thermal scanner machines and 91 handheld scanners for ports of entry,Tender process (NDOH59a&b/2019-2020),"Yellow Technical Services 
","Jacobus Johannes Botes 
Tjaard Brookryk 
Antonio Joaqum Moreira  Mora April Seshoka  ",12 December 2013,"Handheld scanner R80,020.05 Fixed thermal scanners R404,914.59","R11,975,018.39 
",Two partial deliveries on 30 June 2020 and 29 July 2020,"Yes Supply of measuring, observing and testing instruments and passive discrete components. 
"
7 Apr 20,"30,000 x Surgical Masks",Transversal tender RT296- 08-271,"Biologica Pharmaceuticals 

",Nondumiso Yvonne Helen Mzizana (Owner) Company registration date,19 April 2013,R26.65,"R799,500.00 ","Three partial deliveries on 20 April 2020, 6 May 2020 and 12 May 2020","Yes Human health and social work activities 
"
06 and 08 May 2020,3400 x face cloth masks with NDoH logo,"Emergency procurement approval National Treasury Instruction no 08 of 2019/2020",Tammy Taylor Nails SA Holdings,Melany Juanita Viljoen,25 May 2012,R57.50,"R195,500.00 
",Two deliveries on 6 May 2020 and 12 May 2020,"Yes Wholesale and retail trade 
"
6 March 2020,"21,000 x N95 masks",Transversal tender (RT32/2019),Liora Medical supplies ,"Gertrude Jill Selamolela 
",4 February 2011,R5.35,"R112,350.00 
",12 April 2020,"Yes, registered for PPE Other personal service activities 
"
24 March 2020,"900,000 x gloves (9000 boxes of 100 items) Initially 2,400,000 was ordered but order was cancelled after 900,000 being delivered","(9000 boxes of 100 items) Initially 2,400,000 was ordered but order was cancelled after 900,000 being delivered 
Transversal tender RT296- 2020","Promed Technologies  ","Nash-Lee Govender 
",20 August 2014,R46.60 per box of 100 items,"R419,400.00",03 April 2020,"CSD shows manufacturing of paper and paper products 
"
21 April 2020,"40,000 x K95 masks","Services were sourced through the use of the quotations, but no deviations were indicated 
","X Business Resources  ",Noxolo Sylvia Dyantyi ,11 April 2013,R66.70,"R2,668,000.00 
",18 May 2020,"Doesn’t seem like it. CSD shows Electricity, gas, steam and air conditioning; Civil Engineering; Other Professional and Technical Services. 
"
09 May 2020,15 x Face shields,"One quote quotation as per SCM procedures for amounts up to R2,000.00","Sciprofs 
",Mbongiseni Erick Ndlangamandla,1 Oct 16,R65.55,"R983.25 
",26 May 2020,"Doesn’t seem like it. Manufacturing of electronic equipment; Professional, scientific and technical activities. 
"
18 March 2020,"7,000 x 500ml Hand Sanitizers for use by NDoH staff, ports of entry, security points and Forensic Chemistry Laboratories",Transversal tender RT300- 2017,"BARRS Pharmaceuticals  ","Graham George Feltham Michael  Alfreda Elizabeth le Roux  Joseph Lionel Morris  David Sepel  Rubin Gabriel Norwitz ",22 March 2012,R14.44 for Steriprep R16.41 for Sterisol,"R107,975.00 
","Several partial deliveries 26 March 2020, 27 March 2020, 8 April 2020;","Yes Manufacturing of pharmaceutical products 
"
07 April 2020,"60,000 x 500ml Hand Sanitizers 
11,340 units still to be delivered",Transversal tender RT300- 2017,"BARRS Pharmaceuticals  ","Graham George Feltham Michael  Alfreda Elizabeth le Roux  Joseph Lionel Morris  David Sepel  Rubin Gabriel Norwitz ",22 March 2012,R16.41 for Sterisol,"R984,600.00 
","48,660 items delivered by 13 May 2020. 
11,340 items still to be delivered","Yes Manufacturing of pharmaceutical products 
"
