Supplier,Item,Amount
Bela Consulting,Mobile foot operated hand sanitizer dispenses,7 880.00
Bela Consulting,"PPE (aprons, wipes, show covers)",67 826.80
Company Wellness Solutions,Covid 19 Screening,115 225.00
D&F Commodity Broking CC,Desk based screens,123 653.75
Petty cash,3 ply Cloth Masks,1 225.00
Petty cash,Adhesive stickers,1 225.00
Petty Cash,10 shield mask,2 700.00
Petty cash,3 ply Cloth Masks,2 325.00
Petty Cash  14/05/2020,3 ply Cloth Masks,1 200.00
Phinot Nostalgic Projects,70% Alcohol Sanitizer gel,10 600.00
Skitterblink Doringkloof (PTY)LTD,Disinfection,2 961.25
Skitterblink Doringkloof (PTY)LTD,PPE,287.50
SPS Advertising & Marketing (PTY),Digital Body Thermometer,4 599.89
SPS Advertising & Marketing (PTY),Gloves,3 449.43
SPS Advertising & Marketing (PTY),Hand Sanitizers,12 870.80
SPS Advertising & Marketing (PTY),Sanitizer Bottles,18 972.13
SPS Advertising & Marketing (PTY),Surface Disinfection,21 272.13
Grand Total,,398 273.68
