MANAGEMENT AREA,ITEM DESCRIPTION,NAME OF SUPPLIER,COMPANY REGISTRATION NO,"PROCUREMENT PROCESS FOLLOWED
('TRANSVERSAL CONTRACT NO/SUPPLIER
IDENTIFIED BY TREASURY/DEVIATION/
PROCUREMENT METHOD)",UNIT OF MEASURE,ORDER NUMBER,ORDER DATE,ORDER QUANTITY,UNIT PRICE,ORDER VALUE
Durban,Surgical masks,Quality Medical,2015/019742/07,RTCOVID19,each,"F-431726 (DB-
014008)",3/20/2020,25000,R10.35,"R                         258,750.00"
Durban,Surgical masks,Flawless Enterprise,2015/431254/07,Quotation,each,"F-431406  (DB-
014004)",3/28/2020,10000,R27.00,"R                         270,000.00"
Durban,Surgical masks,Flawless Enterprise,2015/431254/07,Quotation,each,"F-431428 (DB-
014040)",4/9/2020,10000,R27.00,"R                         270,000.00"
Durban,Surgical masks,Multisurge,2014/170364/07,RTCOVID19,each,DB-014064,4/30/2020,20000,R9.20,"R                         184,000.00"
Durban,N95 masks,Lechoba Medical,2005/044442/07,RTCOVID19,each,"F-431748 (DB-
014009)",3/26/2020,17500,R18.75,"R                         328,125.00"
Durban,N95 masks,Flawless Enterprise,2015/431254/07,Quotation,each,"F-431406  (DB-
014004)",3/28/2020,175,R135.00,"R                           23,625.00"
Durban,Disposable Gown (isolation),Logan Medical & Surgical Sundries,2012/056508/07,RTCOVID19,each,DB-013968,3/20/2020,1000,R40.25,"R                           40,250.00"
Durban,Protective Cover Bodysuits Disposable,Alfrehutch Trading,2008/130764/23,RTCOVID19,each,"F-431741 (DB-
014158)",3/22/2020,500,R89.76,"R                           44,880.00"
Durban,Full face shield (Protective goggles ),Lechoba Medical,2005/044442/07,RTCOVID19,each,"F-431749 (DB-
014025)",3/26/2020,600,R65.90,"R                           39,540.00"
Durban,Disposable aprons,Central Medical,1995/003785/07,RT 32-2019,each,DB-013966,3/19/2020,40000,R0.32,"R                           12,800.00"
Durban,Disposable scrub suit,Gibela Trade & Invest 1001,2004/117191/23,RT 32-2019,each,DB-013969,3/21/2020,200,R17.19,"R                             3,438.00"
Durban,Non Sterile Gloves  (Med / Large),Evergreen Latex,2002/057771/23,RT 76-2020,pair,DB-013967,3/20/2020,1500 x 50's,R49.86,"R                           74,790.00"
Durban,Non Sterile Gloves (Latex)  (S / M / L),Flawless Enterprise,2015/431254/07,Quotation,pair,"F-431407 (DB-
014003)",3/30/2020,"6000                   4500
7500",R  1  . 5  0,"R                           18,000.00"
Durban,Temperature Scanner,Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431409 (DB-
014026)",3/31/2020,60,"R1,743.50","R                         104,610.90"
Durban,Temperature Scanner,Flawless Enterprise,2015/431254/07,Quotation,each,"F-431431 (DB-
014027)",4/15/2020,5,"R2,520.00","R                           12,600.00"
Durban,Alcohol based hand sanitiser (500ml),Barrs Pharmaceuticals Industries,2012/056577/07,RT 300-2017,each,DB-013942,3/16/2020,10000,R16.41,"R                         164,100.00"
Durban,"Alcohol based hand sanitiser (500ml)  (EMERGENCY
ORDER)",Flawless Enterprise,2015/431254/07,Quotation,each,"F-431404 (DB-
014005)",3/28/2020,4000,R100.00,"R                         400,000.00"
Durban,Alcohol based hand sanitiser (500ml),Barrs Pharmaceuticals Industries,2012/056577/07,RT 300-2017,each,DB-13988,4/7/2020,12050,R16.41,"R                         197,740.50"
Durban,Surgical scrub 500ml,Barrs Pharmaceuticals Industries,2012/056577/07,RT 300-2017,each,"F-431737 (DB-
013993)",3/21/2020,8000,R21.92,"R                         175,360.00"
Durban,Surgical scrub 500ml,Barrs Pharmaceuticals Industries,2012/056577/07,RT 300-2017,each,DB-013988,4/7/2020,8000,R21.92,"R                         175,360.00"
Durban,Biocide D / Bleach,SRT Sunshine,2019/403032/07,Quotation,liters,DB-013963,3/19/2020,3000,R9.92,"R                           29,760.00"
Durban,Paper towels,Promed Technologies,2014/162486/07,RT 14-2019,rolls,DB-013965,3/19/2020,6000,R10.50,"R                           63,000.00"
Durban,Paper towels,Promed Technologies,2014/162486/07,RT 14-2019,rolls,"F-431429 (DB-
014002)",4/10/2020,12000,R10.50,"R                         126,000.00"
Durban,Matress Cover for hospitals,Hospital Equipment Manufacturers,2000/000651/07,RT 24-2016,each,"F-431735 (DB-
014023)",3/21/2020,600,R450.00,"R                         270,000.00"
Durban,Tents for isolation (2 beds),Hospital Equipment Manufacturers,2000/000651/07,RT 24-2016,each,"F-431420 (DB-
014007)",4/1/2020,10,"R2,525.00","R                           25,250.00"
Durban,ENT Set   (Diagnostic set),Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,20,"R2,839.12","R                           56,782.40"
Durban,Vital Moniter (BP Monitoring Machine),Class Three Medical Solutions,2017/535986/07,RT 2-2016,each,"F-431403 (DB-
014034)",3/27/2020,10,"R16,315.54","R                         163,155.40"
Durban,BP Cuffs  (for vital monitor),Class Three Medical Solutions,2017/535986/07,RT 2-2016,each,"F-431403 (DB-
014034)",3/27/2020,10,R120.75,"R                             1,207.50"
Durban,HB Meter,Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,10,"R3,103.10","R                           31,031.00"
Durban,Ambubag (oval plus silicone resuscicator adult),Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,12,"R1,138.50","R                           13,662.00"
Durban,Laryngeal Mask,Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,10,R188.35,"R                             1,883.50"
Durban,"Endotracheal Tube (6, 61⁄2, 7, 71⁄2)",Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,20,R98.65,"R                             1,973.00"
