Region,Responsibility,Supplier,hea_Number,PO Printed Date,QTY Ordered,,QTY Received,,RFQ Amount
KWAZULU NATAL,LC EKUVUKENI,MAAA0484246  MAGNUM ELECTRICAL LADYSMITH( reg: (2007/181557/23),PON0000GNQ,2019-11-22T14:38:25.287,1,,,1,2500
KWAZULU NATAL,LC ESTCOURT,MAAA0139847  NZWIBA TRADING( reg: (2012/017520/07),PON0000KHK,2020-01-27T11:00:40.630,1,,,1,10000
WESTERN CAPE,LC PAARL,MAAA0076192  TERMINIX( reg: (1997/039191/23),PON0000KJM,2020-01-27T14:11:28.083,1,,,1,1955
LIMPOPO,LC MALAMULELE,MAAA0449759  TSAMAKH TRADING ENTERPRISE( reg: (2008/054414/23),PON0000L0T,2020-02-03T08:46:10.157,58,,,1,35264
NORTH WEST,LC STILFONTEIN,MAAA0014257  BUSINGHATHA TRADING ENTERPRISE( reg: (2011/139977/07),PON0000LWX,2020-02-13T10:56:33.453,1,,,1,18000
LIMPOPO,LC POLOKWANE/PIETERSBURG,MAAA0836647  AMMARENTIA TRADING PROJECTS( reg: (2019/399695/07),PON0000M26,2020-02-14T12:46:33.683,46,,,1,6881.6
WESTERN CAPE,STATE LAW ADVISORS - CAPE TOWN,MAAA0079199  PEST RELIEVERS( reg: (2002/051888/23),PON0000MBP,2020-02-19T12:22:16.470,1,,,1,1667.5
EASTERN CAPE,STATE ATTORNEY: EAST LONDON,MAAA0535386  ZR TRADING AND PROJECTS( reg: (2013/010472/07),PON0000MLD,2020-02-24T15:19:23.760,1,,,1,14975
WESTERN CAPE,LC KUILSRIVIER,MAAA0122688  SHANAAZ PETERSEN( reg: (6901280160089),POO00000P1,2020-05-12T12:29:38.457,1,,,1,1800
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0783481  ECOWIZE( reg: (1968/014669/07),POO00001NC,2020-06-01T16:28:32.107,1,,,1,28750
EASTERN CAPE,STATE ATTORNEY: UMTATA,MAAA0367330  QUATRO CLEANING SERVICES( reg: (2012/176420/07),POO00001SG,2020-06-04T10:42:45.747,1,,,1,2200
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),POO0000232,6/8/2020 0:00,1,,,0,16200.25
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),POO000023H,2020-06-08T15:55:10.117,1,,,1,19619.14
EASTERN CAPE,LC PORT ELIZABETH,MAAA0080810  ENGOZA TRADING( reg: (2008/022158/23),POO000024L,2020-06-09T14:17:00.437,6,,,1,1955
WESTERN CAPE,WC: REGIONAL HEAD,MAAA0079199  PEST RELIEVERS( reg: (2002/051888/23),POO000029K,2020-06-11T15:24:02.363,1,,,1,2213.75
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0002735  MARTHA SUSANNA MARRIOTT( reg: (7102130213082),POO00002BB,2020-06-12T11:12:33.383,1,,,0,8422.7
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0002735  MARTHA SUSANNA MARRIOTT( reg: (7102130213082),POO00002BC,2020-06-12T11:11:59.753,1,,,0,9372.25
WESTERN CAPE,LC VREDENDAL,MAAA0079199  PEST RELIEVERS( reg: (2002/051888/23),POO00002D3,2020-06-12T17:02:20.103,1,,,1,1995.25
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),POO00002FB,2020-06-15T17:39:01.253,1,,,1,2500
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),POO00002FC,2020-06-15T17:36:44.683,1,,,1,9599
NORTH WEST,LC KLERKSDORP,MAAA0097061  HURRICANE PEST CONTROL( reg: (2010/035670/23),POO00002GM,2020-06-17T16:16:47.090,1,,,1,32500
WESTERN CAPE,LC STRAND,MAAA0812229  SEBASTIAN JAFTHA( reg: (7506215136085),POO00002H3,2020-06-19T15:33:11.337,1,,,1,1960
WESTERN CAPE,LC VREDENDAL,MAAA0079199  PEST RELIEVERS( reg: (2002/051888/23),POO00002J4,2020-06-18T15:06:42.220,1,,,1,1725
EASTERN CAPE,FAMILY ADVOCATE: PORT ELIZABETH,MAAA0423394  JALIX TRADING( reg: (2017/089094/07),POO00002N9,2020-06-23T15:22:13.260,1,,,1,5115
EASTERN CAPE,LC PORT ELIZABETH,MAAA0706473  MA-ELEVEN ENTERTAINMENT( reg: (2010/143833/23),POO00002NW,2020-06-24T11:10:42.987,1,,,1,18111.35
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),POO00002P2,2020-06-24T12:21:55.290,1,,,0,6290
EASTERN CAPE,LC KING WILLIAMS TOWN,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),POO00002P5,2020-06-24T12:42:29.663,22,,,1,11500.5
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0099507  RED ALERT TSS( reg: (2005/021629/07),POO00002P8,2020-06-24T12:37:52.603,1,,,0,4801.25
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0372522  MANXIWA GROUP( reg: (2012/067098/07),POO00002PQ,2020-06-25T15:43:47.873,1,,,1,12687.95
KWAZULU NATAL,LC INGWAVUMA,MAAA0877359  MKLG GROUP( reg: (2017/473924/07),POO00002TN,2020-06-29T14:57:19.230,1,,,0,19980
WESTERN CAPE,LC VREDENDAL,MAAA0079199  PEST RELIEVERS( reg: (2002/051888/23),POO00002V3,2020-06-29T16:55:20.567,1,,,1,460
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),POO000033P,2020-07-02T16:00:19.613,1,,,1,5150.5
EASTERN CAPE,LC PORT ELIZABETH,MAAA0080810  ENGOZA TRADING( reg: (2008/022158/23),POO000034G,1/1/1900 0:00,1,,,0,17890
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),POO000034S,2020-07-03T12:34:36.757,1,,,0,11189.5
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),POO0000356,2020-07-03T14:29:01.970,1,,,1,7131.84
EASTERN CAPE,EC: COURT OPERATIONS,MAAA0099507  RED ALERT TSS( reg: (2005/021629/07),POO000037D,2020-07-06T14:16:13.233,1,,,0,3450
LIMPOPO,LC THABAMOOPO,MAAA0010664  SERVEST( reg: (1997/006391/07),POO00003B7,2020-07-07T15:56:25.663,6303,,,0,34073.35
LIMPOPO,LC MODIMOLE/NYLSTROOM,MAAA0000178  PEST CONTROL HYGIENE AND CLEANING( reg: (1992/002548/23),POO00003BP,2020-07-07T16:22:29.330,1,,,1,9660
LIMPOPO,LC RITAVI,MAAA0883558  V A R HOLDINGS( reg: (2017/203653/07),POO00003HW,2020-07-09T16:12:38.297,4,,,1,13427.8
LIMPOPO,LC RITAVI,MAAA0883558  V A R HOLDINGS( reg: (2017/203653/07),POO00003HW,2020-07-09T16:12:38.297,3158,,,1,13427.8
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0102243  RENTOKIL INITIAL( reg: (1967/013286/07),POO00003LV,2020-07-11T10:45:37.460,1,,,1,93840
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0359314  GERMGUARD SERVICES( reg: (2016/066011/07),POO00003LW,2020-07-11T10:48:43.743,1,,,1,3815
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0725623  PHILA AND NANA TRADING( reg: (2018/501278/07),POO00003LX,2020-07-11T11:06:30.633,1,,,1,27300
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0891486  TRAFFIC CLEANING SERVICES( reg: (2020/093594/07),POO00003LZ,2020-07-11T11:22:08.473,1,,,1,17170
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0563953  BHEKA SINOLWAZI TRADING( reg: (2017/501661/07),POO00003M0,2020-07-11T11:30:50.900,1,,,1,29112.5
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0573505  AVELLANCHE PROJECTS( reg: (2018/036009/07),POO00003M1,2020-07-11T11:35:45.057,1,,,1,6981
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0359314  GERMGUARD SERVICES( reg: (2016/066011/07),POO00003M2,2020-07-11T11:40:55.500,1,,,0,13370
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0760842  KHENSI M GROUP( reg: (2019/174737/07),POO00003M3,2020-07-11T11:44:43.223,1,,,1,81812.5
EASTERN CAPE,LC EAST LONDON,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),POO00003NB,2020-07-21T10:47:30.030,1,,,0,19450
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0727680  UKUYALUZA KWENTUTHWANE( reg: (2017/655736/07),POO00003NR,2020-07-13T15:58:39.577,1,,,0,4746
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0751680  KAIVALYA TRADING( reg: (2019/112801/07),POO00003NS,2020-07-13T16:09:06.680,1,,,1,6379.28
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0073759  EYAMA NDABA CONTRACTORS( reg: (2013/116694/07),POO00003NT,2020-07-13T16:08:45.210,1,,,0,40250
EASTERN CAPE,LC PORT ELIZABETH,MAAA0005079  PLATINUM SUPPLIERS( reg: (2014/129266/07),POO00003NW,2020-07-14T10:10:50.270,1,,,1,4524.71
EASTERN CAPE,LC PORT ELIZABETH,MAAA0080810  ENGOZA TRADING( reg: (2008/022158/23),POO00003NX,2020-07-14T10:11:53.313,1,,,1,28595
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0032687  SIBA INDUSTRIAL CLEANING AND CAR WASH SERVICE( reg: (2015/293139/07),POO00003SH,2020-07-15T15:22:20.500,1,,,1,5242.5
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0392273  REBUS TRADING ENTERPRISE( reg: (2016/351682/07),POO00003SK,2020-07-15T16:35:01.103,1,,,0,54047
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0891486  TRAFFIC CLEANING SERVICES( reg: (2020/093594/07),POO00003SL,2020-07-15T16:34:32.067,1,,,1,88996.15
EASTERN CAPE,LC MIDDLEDRIFT,MAAA0026411  BELLGROVE AND SNELL( reg: (1946/022993/07),POO00003V0,2020-07-16T11:34:59.050,1,,,1,7172.55
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0860526  AAA CONSUMABLES KWAZULU NATAL( reg: (2019/557180/07),POO00003W9,2020-07-17T10:13:06.063,1,,,1,6000
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0163198  JOJO DISTRIBUTORS( reg: (2015/316871/07),POO00003WB,2020-07-17T10:09:17.360,1,,,1,16283
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0927977  CLAIRSERVICES( reg: (2020/233408/07),POO00003WC,2020-07-17T10:07:38.150,1,,,1,4500
LIMPOPO,LIM: REGIONAL HEAD,MAAA0883558  V A R HOLDINGS( reg: (2017/203653/07),POO00003WJ,2020-07-16T15:42:22.267,2922,,,0,11980.2
EASTERN CAPE,LC PORT ELIZABETH,MAAA0082085  HEICO PROJECT MANAGEMENT 1( reg: (2012/026928/07),POO00003Z8,2020-07-17T15:07:54.047,1,,,1,1556.86
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0359314  GERMGUARD SERVICES( reg: (2016/066011/07),POO000045S,2020-07-22T14:10:56.393,1,,,1,5740
KWAZULU NATAL,KZN: BUDGET CONTROL,MAAA0927977  CLAIRSERVICES( reg: (2020/233408/07),POO0000488,2020-07-23T13:15:12.080,1,,,1,3991.6
LIMPOPO,LC PHALALA,MAAA0883558  V A R HOLDINGS( reg: (2017/203653/07),POO00004DD,2020-07-27T15:49:43.107,1305,,,0,5350.5
