Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
DDPP Bhisho,4/15/2020,Abacus Supply Chain Solutions (PTY) Ltd,5L Handsanitiser with 70% Alcohol,R             6 .00,475.00,"R                            3,277.50",None
DDPP Bhisho,4/16/2020,Heinen Uniforms & Ebroider Studio,Face Masks,R           17.39,130,"R                            2,599.95",None
DDPP Durban,3/19/2020,AIG INTERNATIONAL,SANITIZERS,R         100.00,18,"R                            2,070.00",None
DDPP Durban,4/2/2020,SERVICE ROYALE HYGIENE SPECIALISTS KZN,MASKS,R           25.00,200,"R                            5,750.00",None
DDPP Durban,4/14/2020,SERVICE ROYALE HYGIENE SPECIALISTS KZN,MASKS,R           25.00,90,"R                            2,587.50",None
DDPP Durban,4/16/2020,DISCHEM,GLOVES,R         119.95,6 BOXES,R                               720.70,None
DDPP Durban,4/19/2020,DISCHEM,GLOVES,R         119.95,7 BOXES,R                               854.60,None
DDPP Port Elizabeth,3/24/2020,Antonroland Enterprises,Hand Sprayer bottles,R         242.18,11x 5 lit,"R                            1,210.90",None
DDPP Port Elizabeth,4/15/2020,Conticare,Gloves,"R      1,100.00",5 boxes,"R                            5,500.00",None
DDPP Port Elizabeth,5/18/2020,Saniti ZA,Sanitaz Units,R650.00,8,"R5,200.00",None
DDPP Port Elizabeth,6/10/2020,WB Metal Design,Foot Operated Saniter Stands,R         550.00,6,"R                            2,700.00",none
DPP BISHO,4/1/2020,Decontimination of offices,Decontamination,0,0,"R                            9,200.00",None
DPP BISHO,5/1/2020,Decontimination of offices,Decontamination,0,0,"R                            9,700.00",None
DPP BISHO,6/1/2020,Decontimination of offices,Decontamination,0,0,"R                            2,700.00",None
DPP BISHO,7/1/2020,Decontimination of offices,Decontamination,0,0,"R                         18,400.00",None
DPP Bloemfontein,3/31/2020,Adcoc Ingram,Sanitizer,R           65.88,54 x 500ml,"R                            3,557.52",None
DPP Bloemfontein,4/14/2020,the inspired bunny,Re-usable masks,R           40.00,120,"R                            4,800.00",None
DPP Bloemfontein,5/19/2020,SHIFT CONSULTING,RE-USABLE FACE MASKS -  BLOEMFONTEIN,,,"R                         12,700.00",None
DPP Bloemfontein,5/25/2020,ARISING VISONARIES,SANITIZERS x 254 - DPP BLOEMFONTEIN,,,"R                          77,470.00",None
DPP Cape Town,5/19/2020,DESIGN26 FOUNDATION,RE-USABLE FACE MASKS - DPP CAPE TOWN,,,"R                          25,806.00",None
DPP Cape Town,5/19/2020,KHACHANI ENTERPRISE,FACE SHIELDS x 500,,,"R                         11,300.00",None
DPP Cape Town,5/26/2020,REROX,SANITIZERS x 528 - CAPE TOWN,,,"R                       144,883.20",None
DPP CAPE TOWN,5/1/2020,Decontimination of offices,Decontamination,0,0,"R                            3,455.94",None
DPP CAPE TOWN,7/1/2020,Decontimination of offices,Decontamination,0,0,"R                            3,455.94",None
DPP DURBAN,5/1/2020,Decontimination of offices,Decontamination,0,0,"R                            3,482.96",None
DPP DURBAN,6/1/2020,Decontimination of offices,Decontamination,0,0,"R                            3,482.96",None
DPP DURBAN,7/1/2020,Decontimination of offices,Decontamination,0,0,"R                            3,482.96",None
DPP Grahamstown,4/15/2020,Abacus supply chain solutions,Handsanitizer,R         475.00,6 x 5l,"R                            2,850.00",None
DPP Grahamstown,4/15/2020,Mustard seed,Handsanitizer,R         404.10,2 x 2l,R                               808.20,None
DPP Grahamstown,4/16/2020,Heinen Embroidery,Face Masks,R           20.00,81,"R                            1,620.00",None
DPP Grahamstown,5/18/2020,A D MEDICAL,FACE SHIELDS x 600,,,"R                         16,491.00",None
DPP Grahamstown,5/19/2020,CAPE BUSINESS AND ENGINEERING COLLEGE,RE-USABLE FACE MASKS - EASTERN CAPE,,,"R                          15,884.00",None
DPP Grahamstown,5/25/2020,TRIPLEM SERVIC,SANITIZERS x 361 - EASTERN CAPE OFFICE,,,"R                          86,683.32",None
DPP Grahamstown,9/4/2020,Heinen Embroidery,Face Masks,R           20.00,10,R                               200.00,None
DPP GRAHAMSTOWN,4/1/2020,Decontimination of offices,Decontamination,0,0,"R                            1,120.00",None
DPP GRAHAMSTOWN,5/1/2020,Decontimination of offices,Decontamination,0,0,R                               450.00,None
DPP GRAHAMSTOWN,6/1/2020,Decontimination of offices,Decontamination,0,0,"R                            1,000.00",None
DPP Johannesburg,3/9/2020,Reggae Products,Hand sanitisers,R           21.00,92,"R                            1,932.00",None
DPP Johannesburg,3/18/2020,Muluila Supermarket,Hand sanitisers,R         110.00,31,"R                            3,410.00",None
DPP Johannesburg,3/19/2020,China shop,Gloves,R           60.00,4,R                               240.00,None
DPP Johannesburg,3/24/2020,Gzwivhuya group,Hand sanitisers,"R      4,000.00",1,"R                            4,000.00",None
DPP Johannesburg,4/20/2020,Walkerville Pharmacy,Face masks,R           30.00,100,"R                            3,000.00",None
DPP Johannesburg,4/21/2020,PPE Pharma Supplies,Face masks,R           20.00,300,"R                            6,000.00",None
DPP Johannesburg,5/20/2020,FLAMINGO MOON TRADING 146,RE-USABLE FACE MASKS - JHB,,,"R                          19,927.20",None
DPP Johannesburg,5/25/2020,CHANTEL CONSORTIUM,SANITIZERS x 456 - DPP JHB,,,"R                       118,560.00",None
DPP JOHANNESBURG,4/1/2020,Decontimination of offices,Decontamination,0,0,"R                          45,895.05",None
DPP JOHANNESBURG,5/1/2020,Decontimination of offices,Decontamination,0,0,"R                          45,895.05",None
DPP JOHANNESBURG,6/1/2020,Decontimination of offices,Decontamination,0,0,"R                       112,595.05",None
DPP JOHANNESBURG,7/1/2020,Decontimination of offices,Decontamination,0,0,"R                       112,595.05",None
DPP KIMBERLEY,6/1/2020,Decontimination of offices,Decontamination,0,0,"R                            8,902.75",None
DPP KIMBERLEY,7/1/2020,Decontimination of offices,Decontamination,0,0,"R                          16,845.53",None
DPP Kimberley,5/21/2020,THE EYE NORTHERN CAPE,RE-USABLE FACE MASKS - KIMBERLY,,,"R                            7,100.00",None
DPP Kimberley,5/25/2020,AMBITIOUSD ENTERPRISE,SANITIZERS x 142 - DPP KIMBERLEY,,,"R                          43,310.00",None
DPP Limpopo,3/20/2020,CHARMERS,LH GKOVES BLUE BOX,R         100.00,2,R                               200.00,None
DPP Limpopo,3/20/2020,CHARMERS,LH GKOVES BLUE BOX,R         100.00,2,R                               200.00,None
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,BACKET AND LID 20L,R           32.00,1,R                                 32.00,None
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,MEASURING JUG 600ML,R           19.00,1,R                                 19.00,None
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,BACKET AND LID 2.5L,R             8 .50,1,R                                   8.50,None
DPP Limpopo,3/20/2020,CLICKS PHARMACY POLOKWANE,FIRST AID MASK,R           10.99,4,R                                 43.96,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,DISHWASHER 2L,R           19.99,1,R                                 19.99,None
