"ORDER/COMMI
TMENT DATE","ORDER
NUMBER","NAME OF SERVICE PROVIDER
(S)","LOGIS & MAAA NUMBER OF
THE SERVICE PROVIDER",ITEM DESCRIPTION,UNIT PRICE,"UNIT OF
MEASUREMENT",QUANTITY,"STAGE OF TRANSACTION ""The amount committeed or spent can ONLY be at one of the
stages and NOT more than one stage""","TOTAL EXP AND COMMITMENTS
FOR THE DEPARTMENT",,,,
"",,,,,,,,PAID/ EXPENDITURE,"INDICATE AMOUNT TO
BE COMMITTED
(PROCESS UNDERWAY)
- LOGIS REPORT 102","COMMITTED BUT NOT
YET INVOICED - SEE
ON LOGIS
COMMITMENT
REPORT - LOGIS
REPORT 102","INDICATE
AMOUNT
RECEIVED AS
ON INVOICE BUT
NOT YET PAID -
LOGIS REPORT
103",,
26-Mar-20,HH-042599,Logan Medical & Surgical,MAAA0009035,Isolation Gowns – Large,R40.25,each,20000,"R                    5 51,425.00","R                  8 05,000.00","R               2 53,575.00",R                   -,"R                                       805,000.00",
"",HH-042599,Logan Medical & Surgical,MAAA0009035,"Isolation Gowns – Extra
Large",R34.50,each,5000,"R                    1 72,500.00","R                  1 72,500.00",R                           -,R                   -,"R                                      172,500.00",
26-Mar-20,HH-042602,Lechoba Medical Technologies,MAAA0038766,Coveralls – Large,R23.93,each,6000,"R                    1 43,600.00","R               2 ,154,000.00","R            2 ,010,400.00",R                   -,"R                                    2,154,000.00",
26-Mar-20,HH-042602,Lechoba Medical Technologies,MAAA0038766,Coveralls – Extra Large,R17.50,each,4000,"R                      7 0,005.00","R               1 ,436,000.00","R            1 ,365,995.00",R                   -,"R                                   1,436,000.00",
26-Mar-20,HH-042601,Supra Healthcare,MAAA0015240,Surgical Gloves,R919.50,1 x Carton,12,"R                      1 1,034.00","R                    1 1,034.00",R                           -,R                   -,"R                                         11,034.00",
31-Mar-20,HH-042603,Supra Healthcare,MAAA0015240,Surgical Gloves,R919.43,1 x Carton,120,"R                    1 10,331.00","R                  1 10,331.00",R                            -,R                   -,"R                                       110,331.00",
25-Mar-20,HH-042589,Tara Healthcare,MAAA0104716,Surgical Masks,"R27,025.00",1 x Carton,120,"R                 3 ,243,000.00","R               3 ,243,000.00",R                           -,R                   -,"R                                    3,243,000.00",
25-Mar-20,HH-042587,Tara Healthcare,MAAA0104716,Sanitizers,R 795.00,1 x Carton,3000,"R                 2 ,385,000.00","R               2 ,385,000.00",R                           -,R                   -,"R                                    2,385,000.00",
25-Mar-20,HH-042590,Unitrade 1032,MAAA0026259,Visors,R 18.00,each,10000,"R                    1 80,000.00","R                  1 80,000.00",R                           -,R                   -,"R                                       180,000.00",
