,STATE-OWNED RESORTS REFURBISHED,,,,,
REGION,NAME OF PROCUREMENT APPOINTED NAME AND DEMOGRAPHIC SCOPE OF WORK,VALUE OF THE,,,,
,THE FACILITY PROCESS SERVICE LOCALITY OF THE,PROJECT,,,,
,FOLLOWED PROVIDER CONTRACTOR,,,,,
Motheo,Phillip Sanders A Panel of Sky Batiment and T. Motsepe African - Male Renovations and,,,,,
,Contractors from Projects refurbishment of the resort.,,,,,
,,"R5 709 120,00",,,,
,DoE. Emergency Bloemfontein,,,,,
,clause applied.,,,,,
Motheo,Soetdoring A Panel of Mulaudzi M. Mulaudzi African - Male Conversion of Soetdoring,,,,,
,Nature Contractors from Development Resort into a quarantine,,,,,
,,"R4 726 001,00",,,,
,Reserve Resort DoE. Emergency Projects Welkom facility,,,,,
,clause applied.,,,,,
Lejweleputsw,Willem A Panel of Motlalepule Tech Motlalepule African - Male Conversion of Willem,,,,,
a,Pretorius Contractors from Pretorius Resort into a,,,,,
,,"R7 095 478,00",,,,
,Resort DoE. Emergency Bloemfontein quarantine facility,,,,,
,clause applied.,,,,,
Lejweleputsw,Sandveld A Panel of Nomabhunga LL Mapeyi African - Female Conversion of Sandveld,,,,,
a,Nature Contractors from Holding Resort into a quarantine,,,,,
,,"R2 938 000,00",,,,
,Reserve Resort DoE. Emergency Bloemfontein facility,,,,,
,clause applied.,,,,,
Fezile Dabi,Koppies Dam A Panel of ASAPI 1109 CC S. Rankoe African - Male Conversion of Koppies Dam,,,,,
,Resort Contractors from Resort into a quarantine,,,,,
,,"R6 331 096,00",,,,
,DoE. Emergency Kroonstad facility,,,,,
,clause applied.,,,,,
Xhariep,Gariep Dam A Panel of Shoba Projects Mr. K. Sebolai African - Male Conversion of Gariep Dam,,,,,
,Nature Contractors from Resort into a quarantine,,,,,
,Reserve Resort DoE. Emergency Bloemfontein facility,R1 845 253.02,,,,
,clause applied.,,,,,
Xhariep,Tussen De A Panel of MSK Mr. N. Mhlongo African - Male Conversion of Tussen Die,,,,,
