Entity,Covid-19 related costs,PPEs,,,
Accounting Standards Board,"3,006.29","2 ,267.00",,,
Cooperative Banks Development Agency,-,-,,,
Development Banks of Sourthern Africa,"1,647,237.00","1 78,692.00",,,
Financial and Fiscal Commission,"102,279.16","3 1,902.50",,,
Financial Intellegence Centre,"56,158.70","2 14,036.29",,,
Financial Sector Conduct Authority,"47,772.61","2 94,111.59",,,
Government Pensions Administration Agency,"1,838,691.31","3 ,672,782.27",,,
Government Technical Advisory Centre,"165,385.81","2 7,500.00",,,
Independent Regulatory Board of Auditors,"20,095.00","2 7,807.03",,,
Land and Africultural Bank of South Africa,"216,145.00","1 79,677.00",,,
Office of the Ombud for Financial Services Providers,"14,398.00","1 ,980.00",,,
Office of the Pension Fund Adjudicator,"51,094.49","1 51,740.41",,,
Office of the Tax Ombud*,-,-,,,
Public Investment Corporation,"190,992.00","1 45,229.00",,,
South African Revenue Service,"55,344.00","3 5,100,585.32",,,
SASRIA*,-,-,,,
,,Costs  on Covid-19 Activities,,,
"Entitie
s","Date of
appointment",Goods/Services,"Procurement
process","Company
appointed",Value
"Date of
procurement",PPE procured,"Company
appointed","Company
registration
number",Value,
"8-May-20
30-Jun-20","Infrared Themometer
3 Ply face masks","Alphabet Soup
Takealot
(AfriSolar (Pty)
Ltd)","Quotations
Quotations","R1,897.00
R370.00",
,,,,,
"29-Apr-20
21-Jul-20","Disinfection,
sanitation,
fumigation and deep
cleaning of the office
for a period of 6
months
Emergency
disinfection of the
office (New Covid19
Case)","Deviation (One
supplier
responded to
our request)
Request for
quotation sent
out to various
potential
bidders and
one bidder
responded to
our request for
quotation.","Masana Hygiene
Services (Pty) LtdR90,098.0
(2014/110265/07)
Masana Hygiene
Services (Pty) LtdR8,991.8
(2014/110265/07)",,
"19-Mar-20
10-Jul-20
10-Jul-20","Disinfecting- both
Midrand & Capetown
Temporal cleaning-
Midrand
Temporal cleaning-
Capetown office","RFQ
RFQ
RFQ","FP Hygiene
Impact soft
cleaning
Motshwari cleaning
services","R58,765.00
R34,019.76
R9,494.40",
,,,,,
"21-May-20
10-Jun-20
23-Jun-20
14-Jul-20","Office Disinfection HO
Surface Sanitiser
CPT Office
disinfection
Office Disinfection
HO","RFQ
RFQ
RFQ
Emergency","Cleaning
Specialist t/a
RND
Amalgamated
Madiba
Promotions
Zara Cleaning
services
Cleaning
Specialist t/a
RND
Amalgamated","R15,190.35
R14,398.00
R11,150.00
R15,420.35",
"4-May-20
5-May-20
9-Jul-20","Sanitizing/Disinfecting
2 x FSCA Buildings
Sanitation of FST
Building - Kasteel
Office Park
Sanitizing/Disinfecting
the FSCA Buildings
(Block B & C)","from existing
hygiene
services
cPoronctruarcetment
from existing
hygiene
services
Procurement
from existing
hygiene
services
contract","Masana Hygiene
Services Masana
(PTY)Ltd
Masana Hygiene
Services Masana
(PTY)Ltd
Masana Hygiene
Services Masana
(PTY)Ltd","R21,722.58
R4,328.03
R21,722.00",
"Procurement from
existing hygiene
services contract",,,,,
,,Masana Hygiene Procurement from,,,
24-Mar-20,290 Hand sanitizer refills.,Services Masana existing hygiene,,"R34,845.00",
,,(PTY)Ltd services contract,,,
,,Masana Hygiene,,,
25-Mar-20,Procurement from 2 x 1Litre sprayer bottles for sanitizer.,Services Masana,,R83.80,
,,existing hygiene (PTY)Ltd,,,
,,services contract,,,
,,Masana Hygiene Procurement from,,,
3-Jun-20,18 X Sanitizer Dispensers and Refills,Services Masana existing hygiene,,"R14,671.33",
,,(PTY)Ltd services contract,,,
,,Masana Hygiene Procurement from,,,
,Cloth/Fabric Face Masks (3-layers),,,,
22-May-20,,Services Masana existing hygiene,,"R28,400.00",
,Washable & Reusable,,,,
,,(PTY)Ltd services contract,,,
,,Masana Hygiene Procurement from,,,
,4 x Digital Body Thermometer Infrared Non-,,,,
8-May-20,,Services Masana existing hygiene,,"R10,741.00",
,Contact,,,,
,,(PTY)Ltd services contract,,,
,,Masana Hygiene,,,
Procurement from 8-May-20,12 x 25 litre Alcohol Sanitizers,Services Masana,,"R57,664.65",
,,existing hygiene,,,
,,(PTY)Ltd,,,
,,services contract,,,
,,Masana Hygiene,,,
,,Procurement from,,,
9-Mar-20,216 X Hand Foam Sanitizers,Services Masana,,"R25,150.50",
,,existing hygiene,,,
,,(PTY)Ltd,,,
,,services contract,,,
,,Masana Hygiene Procurement from,,,
,11 X Sanitizer Dispensers (supply and,,,,
18-Mar-20,,Services Masana existing hygiene,,"R11,257.31",
,installation) 33 X Hand Foam Sanitizers,,,,
,,(PTY)Ltd services contract,,,
11-May-20,72 Bottle Spray 750ml,Store and more,,"R1,792.80",
