Goods and services procured,Quantities,"Procurement processes
followed",Companies appointed,Date of appointment,Value of the contract
3ply surgical masks,1600 Masks,Existing Hygiene contract,Servest Hygiene,01-Jun-18,"R1 141,00"
Wall mounted Sanitiser dispensers (Durban Office),19X1L,Existing Hygiene contract,Sanitech,16-Mar-20,"R2 425,35"
Wall mounted Sanitiser dispensers (Durban Office),7X1L,Existing Hygiene contract,Sanitech,16-Mar-20,"R1 143,10"
3ply  surgical masks and sanitisers,6000 masks +50L+ Spray bottles,Request for Quotation,Mozab Investments CC,18-Mar-20,"R23 850,00"
Sanitisers and Containers,200L+Spray bottles,Request for Quotation,VS Technologies,20-Mar-20,"R48 060,00"
Sanitisers Umtata Office,60L+ 300 gloves+ Spray bottles,Request for Quotation,Outcome Based Consultancy,24-Mar-20,"R9 360,00"
Face Shield,1000,Request for Quotation,CNC Customs (PTY)Ltd,17-Apr-20,"R32 200,00"
Surgical Masks,5000,Request for Quotation,RHULTREV TRADING (PTY) LTD,18-Apr-20,"R140 000,00"
Hand Sanitiser,1008 sanitizers,Request for Quotation,UNIQUE CHOICE,18-Apr-20,R31 752
Infrared Cameras,12units,Request for Quotation,Farm grow (PTY) Ltd,22-Apr-20,R30 000
Latex gloves,3000,Request for Quotation,SINOTHANDONATHI (PTY) LTD,28-Apr-20,"R58 500,00"
