Name of Supplier / Service Provider,Commodity / Description of Services,"Order Amount/Rate per room
 (quarantine accommodation)"
Afrodizz Trading,Cleaning services @ SAPS College,211543
aHa Bloemfontein Hotel,Accommodation: Quarantine Site,1200
aHa Kopanong Hotel,Accommodation: Quarantine Site,1200
Alilambathi Trading,Cleaning Magistrate courts: Mt Ayliff,22300
Alilambathi Trading,Cleaning Magistrate courts: Mt Ayliff,15300
Alilambathi Trading,Cleaning Magistrate courts: Ntabankulu,24440
Alilambathi Trading,Cleaning Magistrate courts: Ntabankulu,17500
ALU and SMA Trading Enterprise,Cleaning Magistrate Court : Maluti,34009
ALU and SMA Trading Enterprise,Cleaning Magistrate courts: Mt Frere,24990
ALU and SMA Trading Enterprise,Cleaning Magistrate courts: Mt Frere,21827
ALU and SMA Trading Enterprise,Cleaning Magistrate courts: Mt Frere,24694
ALU and SMA Trading Enterprise,Cleaning Magistrate courts: Ntabankulu,19807
ALU and SMA Trading Enterprise,"Decontamination / Deep Cleaning &
 Disinfection",88693
ALU and SMA Trading Enterprise,"Decontamination / Deep Cleaning &
 Disinfection",98149
ALU and SMA Trading Enterprise,"Decontamination / Deep Cleaning &
 Disinfection",80364
ALU and SMA Trading Enterprise,"Decontamination / Deep Cleaning &
 Disinfection",92940
ALU and SMA Trading Enterprise,"Decontamination / Deep Cleaning &
 Disinfection",141226
ALU and SMA Trading Enterprise,"Decontamination / Deep Cleaning &
 Disinfection",139655
Amaphosa Amahle Projects,decontamination of facilities,55200
AMINA Chem,Cleaning Material: COVID 19,420189
Amor De Vertade,Cleaning services during COVID-19,88686
Amor De Vertade,Cleaning services during COVID-19,112873
Amor De Vertade,Cleaning services during COVID-19,233808
AQN Events,Supply of face shield,24504
Atheha Consulting and Projects,Cleaning Services Groot Marico,34800
Avellanche Projects,"Justice Various Magistrate Courts: EThekwini
 District Municipality: Decontamination of
 facilities",1885987
A-Z General Trading (Germ X),"Cleaning and Decontamination of DPWI
 facilities",242000
A-Z General Trading (Germ X),"Cluster 1 Courts: Cleaning and
 Decontamination of facilities",37901
A-Z General Trading (Germ X),"Cluster 2 Courts: Cleaning and
 Decontamination of facilities",79493
"Badplaas Forever Resorts -
 Mpumulanga",Accommodation: Quarantine Site,1208
"BD Hlalele Catering & Cleaning
 Service","Bothaville, 28 Smith str",7800
Bela Bela Fire and Security,PTA West Quarantine Site (mechanical fire),27012
Belinda's creative,3layer fabric/cloth masks (5 per packet),160000
Belinda's creative,Supply & delivery of fabric masks,160000
Bertie  Cleaning,"Rendering of cleaning services DPW offices(6
 Months)",87140
Bidvest Steiner,Examination Gloves Medium,162856
Bidvest Steiner,Installation of soap dispensers,158231
Bidvest Steiner,Mask with Ear Loop,3855
Bidvest Steiner,"Soap, hand sanitizer Gel 70%",162856
Bidvest Steiner,"Book cover foil self-adhesive & Redfern
 Printing labels",772
Bidvest Steiner,Disinfectant bottles,62
Bidvest Steiner,"Installation and maintenance of 65 no touch
 hand sanitizers (automated dispensers plus
 monthly refills) for a period of 36 months",657162
Bidvest Steiner,25 L Hand Sanitiser,20700
Bidvest Steiner,5L Hand Sanitizer and empty bottle,5506
Bidvest Steiner,"installation of hand sanitizer Spray(12 Months
 Rental)",25740
Bidvest Steiner,"ALCOHOL based Wipes for Basement, car park",7615
Bidvest Steiner,"Dispenser Wall Mounted (STAND AND
 DISPENSER)",6238
Bidvest Steiner,"Emergency Procurement Delegation with 2
 Quotes obtained.",144072
Bidvest Steiner,Gloves,883
Bidvest Steiner,H/Duty Gloves (Workshop Officials),18975
Bidvest Steiner,Hand Sanitizer (GEL),46338
Bidvest Steiner,Office Friendly Sanitisers,24438
Bidvest Steiner,Vehicle Sanitizing,11500
Biological Pharmaceuticals,Purchase of face masks,19901
Biological Pharmaceuticals,Masks,2132000
Birchwood Hotel – Kempton park,Accommodation: Quarantine Site,1150
Black Sky Investment,One Seater Couch(For Sickbay),3000
"BO Ikarabelo Enterprises and
 Trading","Koppies Magistrate Office: Service for April
 2020",11590
"BO Ikarabelo Enterprises and
 Trading","Koppies Magistrate Office: Service for MAY
 2020",11590
Bogamphemtse,Decontamination Ekangala Magistrate Court,87652
"Bokamoso Ba Kgalalelo le
 Tshegofatso",Cleaning services @ Pretoria North Court,136140
Bolk construction,"Decontamination at PTA North Magistrate
 Court",199640
Bon Hotel Bloemfontein,Accommodation: Quarantine Site,1000
Bontirox,"Emergency Procurement Delegation: One
 Quotation",149213
Bontirox,"Emergency Procurement Delegation: One
 Quotation",15759
Buhle Besonto/N Mposwa,Cleaning Magistrate courts: Port St Johns,18476
Builders Warehouse,PPE (Covid-19),1337
Buyambo Cultural Organisation,Digital body thermometers,150030
C- Squard,Marquee Tent Hire,60000
"Caledon River Properties t/a
 Magwa Construction","Beitbridge phase 1 borderline infrastructure
 and installation: Infrastructure Contractor",37176844
Caltex,Petrol,800
Canfield Industries,"Rendering of Additional Cleaning Service  -
 Upington Magistrate Court",13616
Capital Bath,Accommodation: Quarantine Site,1139
Capital Ivy Villa Hotel,Accommodation: Quarantine sites,950
Capital Ivy Villa Hotel,Accommodation: Quarantine Site,1139
Capital Melrose,Accommodation: Quarantine sites,950
Capital Melrose,Accommodation: Quarantine Site,1139
Capital Menlyn Maine,Accommodation: Quarantine Site,1139
Capital on Empire,Accommodation: Quarantine Site,1139
Capital on Park,Accommodation: Quarantine sites,950
Capital on Park,Accommodation: Quarantine Site,1139
Capital Rosebank,Accommodation: Quarantine sites,950
Cathcart Building,"Emergency Procurement Delegation.
 Estimated Cost",9200
Centurion Lake Hotel,Accommodation: Quarantine site,1200
Centurion Lake Hotel,Accommodation: Quarantine Site,1050
Centurion Legacy Hotel,Accommodation: Quarantine Site,1130
Chibotse Family Projects,Cleaning Services Coligny,37393
Chithibunga Cleaning,"Provision of cleaning services at various
 offices(JHBE19/277)",88572
Chithibunga Cleaning,"Provision of cleaning services at various offices
 (JHBE19/277)",131882
Chithibunga Cleaning,"Provision of cleaning services at various offices
 (JHBE20/019)",131882
Chithibunga Cleaning,"Provision of cleaning services at various
 offices(JHBE20/019)",88572
City Lodge Durban Hotel,Accommodation: Quarantine Site,1208
City Lodge Grand West Cape Town,Accommodation: Quarantine site,1050
City Lodge Grand West Cape Town,Accommodation: Quarantine Site,1050
City Lodge Umhlanga Ridge Durban,Accommodation: Quarantine Site,1206
City Lodge V & A Cape Town Lodge,Accommodation: Quarantine site,1050
City Lodge V & A Cape Town Lodge,Accommodation: Quarantine Site,1050
Cityrama Enterprise,Cleaning Services Itsoseng,34994
Cityrama Enterprise,Cleaning services Ramatlabama Borderpost,78829
Civilux,"Justice: Paul Pietersburg Magistrate Court -
 Decontamination of Justice and DPW facilities",158834
Clicks,Batteries for scanners for Nepillar House,80
Coastlands Umhlanga Hotel - DBN,Accommodation: Quarantine Site,1000
"Coastlands West Street Hotel -
 DBN",Accommodation: Quarantine Site,1000
Com Sede,"Deep cleaning  Magistrate office: Ehlanzeni
 cluster 2",120790
Crazy Plastics,"500Ml Trigger bottles and Kitchen Towels for
 Fleet Vehicles",850
Crystal Pier Trading 148,Apron - plastic,19320
Crystal Pier Trading 148,Sanitiser - hand liquid,9085000
Dada World of Hardware,Mobile washing Basin(For Sickbay),5200
"Deejoy Construction, Cleaning and
 Distribution","60% alcohol based hand sanitizer refill with
 pump in a hygienically sealed package on as
 and when required basis",813
"Deejoy Construction, Cleaning and
 Distribution","60% alcohol based hand sanitizer refill with
 pump in a hygienically sealed package on as
 and when required basis",4878
"Deejoy Construction, Cleaning and
 Distribution","60% alcohol based hand sanitizer refill with
 pump in a hygienically sealed package on as
 and when required basis",5610
"Deejoy Construction, Cleaning and
 Distribution","Alcohol based hand sanitiser refill with pump
 in hygienically sealed package",2337
"Deejoy Construction, Cleaning and
 Distribution","Alcohol based hand sanitiser refill with pump
 in hygienically sealed package",2033
"Deejoy Construction, Cleaning and
 Distribution",Automated / sensor hand sanitiser dispensers,32890
"Deejoy Construction, Cleaning and
 Distribution",Automated / sensor hand sanitiser dispensers,28600
"Deejoy Construction, Cleaning and
 Distribution","Automated/ sensor hand sanitizer dispensers
 (touch free) (adherence to SANS 490)",5200
"Deejoy Construction, Cleaning and
 Distribution","Automated/ sensor hand sanitizer dispensers
 (touch free) (adherence to SANS 490);
 JHBE19/266-Quote # 2 dd 01 June 2020",72800
"Deejoy Construction, Cleaning and
 Distribution","Automated/ sensor hand sanitizer dispensers
 (touch free) (adherence to SANS 490);
 JHBE19/266-Quote # 2 dd 01 June 2020",83720
"Deejoy Construction, Cleaning and
 Distribution","AUTOMATIC HAND SANITISER DISPENSER
 WITH STAND ; JHBE19/266-Quote # 2 dd 01
 June 2020",4600
"Deejoy Construction, Cleaning and
 Distribution","AUTOMATIC HAND SANITISER DISPENSER
 WITH STAND ; JHBE19/266-Quote # 2 dd 01
 June 2020",5290
"Deejoy Construction, Cleaning and
 Distribution","C SIZED BATTERIES FOR AUTO HAND SANITIZER
 DISPENSER WITH STAND ; JHBE19/266-Quote #
 2 dd 01 June 2020",500
"Deejoy Construction, Cleaning and
 Distribution","C SIZED BATTERIES FOR AUTO HAND SANITIZER
 DISPENSER WITH STAND ; JHBE19/266-Quote #
 2 dd 01 June 2020",575
"Deejoy Construction, Cleaning and
 Distribution",CLOTH MASK,25000
"Deejoy Construction, Cleaning and
 Distribution","DAYOUMED INFRARED THERMOMETER;
 JHBE19/266-Quote # 2 dd 01 June 202",9893
