No,Description,Order Number,Award Date,Value,Procurement Strategy,Awarded To,Order Status/Commend,
1,Emergency procurement  of  Hand Sanitzers(600);Latex gloves (260) and Masks (200),8926,20-Mar-20,"538,500.00","Emergency Procurement  method was used, complying to the Agency's SCM Delegations.",OLWE2 PROJECT MANAGEMENT CONSULTANCY,Delivered on 23 March 2020.,"This was at the beginning of the Covid-19 pandemic announcement when there was a lot of uncertainty and panic, before National Treasury issued any Instruction notes,"
2,1. Surgical Masks (5000) Hand Sanitzers(70) 20L 3. Latex gloves (400) 4. 500ML empty bottles (1200),8938,24-Mar-20,"359,300.00","Emergency Procurement  method was used, complying to the Agency's SCM Delegations. SCM Delegations.",MKHWEBENI NAYE TRADING,Delivered on 31 March 2020.,"This was at the beginning of the Covid-19 pandemic announcement when there was a lot of uncertainty and panic, before National Treasury issued any Instruction notes,"
3,1. Hand Sanitzers(520) 2.Latex gloves (1000),8941,28-Mar-20,"417,571.20","Quotations: The National Treasury approved list of suppliers were invited, they responded by saying they don’t have stock due to high volume demand, normal suppliers were invited",UMZANSI IT,Delivered on 31 March 2020.,
4,"1. Mask N95 (95) 2.Latex gloves (40) 3. Setrile devices, UV-C indoor sterile air",8910,16-Mar-20,"249,861.65",Quotations:The procurement process was embarked on before the Treasury instruction note 3,4 MLK TRADING ENTERPRISES,Delivered on 24 March 2020. ,"This was at the beginning of the Covid-19 pandemic announcement when there was a lot of uncertainty and panic, before National Treasury issued any Instruction notes,"
5,Sanitazing of all offices,8955,30-Apr-20,"221,375.00",Used the current North West cleaning company by activating the disaster claws,Quintex,Delivered on 10 May 2020.,
6,Surgical Mask 3 PLY (541),8950,30-Apr-20,"432,800.00","Quotations: The National Treasury approved list of suppliers were invited, they responded by saying they don’t have stock due to high volume demand, normal suppliers were invited invited, they did not respond. normal suppliers were invited in compliance  with Trasury Practice note No. 5 of 2020/21.",DOUBLE V GROUP,Delivered on 02 May 2020.,
7,Thermometer,8967,5-May-20,"133,100.00","Emergency Procurement method was used, complying to the Agency's SCM Delegations. (A survey was conducted from different suppliers to assess the ability to deliver, the appointed supplier was awarded based on the stock availability and the capacity to deliver immediately ). The  prices chrged were based on what the market was offering at that time , and the fact that the items were urgently needed for staff at local Offices , we had to use availability of stock and ability to deliver immediately .",DOUBLE V GROUP,Delivered on 05 May 2020.,
8,Cloth mask,8968,7-May-20,"7,700.00",The cooperatives were appointed for the delivery of cloth masks,IKGODISENG SEWING PROJECT PRIMARY CO-OPERATIVE LIMITED,Delivered on 11 May 2020.,
9,Cloth mask,Order to be issued today,7-May-20,"13,000.00",The cooperatives were appointed for the delivery of cloth masks,AMOGELANG MANUFACTURING CLOTHING PRIMARY CO-OPERATIVE,Delivered on 11 May 2020.,
10,Cloth mask,8968,7-May-20,"6,950.00",The cooperatives were appointed for the delivery of cloth masks,BAHUMI MULTI-PURPOSE CO-OPERATIVE LIMITED,Delivered on 11 May 2020.,
11,Face shield mask,8966,7-May-20,"83,190.00","Quotations: The National Treasury approved list of suppliers were invited, they did not respond normal suppliers were invited normal suppliers were invited in compliance with Trasury Practice note No. 5 of 2020/21.",REFILWEJUNIOR (PTY) LTD,Delivered on 09 May 2020.,
12,Social distancing floor marking tapes,8965,6-May-20,"24,000.00",Quotations: Normal suppliers were invited normal suppliers were invited in compliance  with Trasury Practice note No. 5 of 2020/21.,KEFILWE MOD TRADING ENTERPRISE,Expected delivery 19 May 2020.,
