Item Nr,Description of service,Supplier Name,Order Date,Order Number,Order Amount,Sourcing Strategy,Delivered (Yes/No)
1,Supply and delivery of Sanitisers & Disinfectant,Masana Hygiene Services,31-Mar-20,9281,"184894.14",Single sourcing,Yes
2,Supply and delivery for Protective  Items ( masks and hand gloves),Be Sure Events Solutions,31-Mar-20,9278,"3259100.00",Single sourcing,Yes
3,Delivery of disinfectent  services for  54 offices  and 151 Vehicles,Masana Hygiene Services,20-Apr-20,9341,"269868.50",Single sourcing,Yes
4,Sanitizers,Mphande Capital,26-May-20,9316,"137500.00",3 Quotations,Yes
5,Face Shields,MVN Holdings TradingG,27-May-20,9320,"29994.24",3 Quotations,Yes
6,Thermometer,Multisurge,26-May-20,9317,"117300.00",3 Quotations,Yes
7,Sanitizers Holders,Arloline (PTY) LTD,8-Jul-20,9371,"402280.00",3 Quotations,Yes
8,Duct tape,DNA Design Studio,12-Jun-20,9365,"34661.00",3 Quotations,Yes
9,Please Stand here signes,lkmj,12-Jun-20,9366,"14900.00",3 Quotations,Yes
10,Digital Thermometers,Magus Connections,9-Jul-20,9374,"62192.00",3 Quotations,Yes
11,"Disinfection of 1 Office & 3 Vehicles    , DR Pixley Ka Isaka Seme",Angiehope,30-Jun-2020,9369,"4005.00",Single sourcing,Yes
12,Disinfection of 1 Office ( 15 rooms)  & 3 Vehicles   Dipaliseng,Mpembe and Sons Sales and Supplies,9-Jul-2020,9373,"6500.01",Single sourcing,Yes
13,"Disinfection of 1 Office  ( 4 rooms )  & 2 Vehicles  ,    Mkobola",Wozngithatha Klungwane (Pty)Ltd,23-Jul-20,AI-233549,"6200.00",Single sourcing,Yes
14,"Disinfection of 1 Office ( 6 rooms)  & 3 Vehicles    , Emakhazeni",Ncangosi Solutions,27-Jul-20,AI-233548,"5100.00",Single sourcing,Yes
15,"Disinfection of 2 Office (29 rooms ) & 7 Vehicles , Gert Sibande District
and Msukaligwa  office",Takalani Empire,25-Jul-20,AI-233550,"40264.00",Single sourcing,Yes
16,"Disinfection of 3  Office (63 rooms) & 11  Vehicles , Nkangala District,
Emalahleni and Steve Tshwete Office )",Umnqobatha Trading Enterprise,27-Jul-20,AI-233547,"55550.00",Single sourcing,Yes
17,Disinfection of Regional Office,Masana Hygiene Services,28-Jul-20,AI-233557,"20333.96",Single sourcing,Yes
18,Disinfection of Evander Office,Masana Hygiene Services,28-Jul-20,AI-233558,"2322.77",Single sourcing,Yes
19,Cloth face mask,Dikarabo Trading Co-operative,5-Aug-20,9378,"53000.00",3 Quotations,Yes
