ORDERS PLACED,"PAYMENTS MADE AGAINST
PLACED ORDERS",,,,,,,,,,,,,
"Item
No",Quantity,"Main Category
of Expense","Sub-
Catego
ry",Details,"Awarded
Amount","Q1
Purchase
orders","Q2
Purchase
orders",Name of Service Provider (SCM),"Registration
Numbers","Date of
Appointment","SCM
PROCESS
FOLLOWED
(Request for
Quotation)","Q1
Payments",Q2 Payments,Total
1,50 boxes,Covid-19 Costs,PPE,Masks,R20 995.00,R20 995.00,,Letodi Facilities & logistics (Pty) Ltd,2017/666152/07,2020/06/05,RFQ,,,R150 948.00
2,40 boxes,Covid-19 Costs,PPE,Gloves,R9 596.00,R9 596.00,,Letodi Facilities & logistics (Pty) Ltd,2017/666152/08,2020/06/06,RFQ,,,R0.00
3,30 boxes,Covid-19 Costs,PPE,Gloves,R7 197.00,R7 197.00,,Letodi Facilities & logistics (Pty) Ltd,2017/666152/09,2020/06/07,RFQ,,,R0.00
4,150,Covid-19 Costs,PPE,Sanitizer,R8 985.00,R8 985.00,,Letodi Facilities & logistics (Pty) Ltd,2017/666152/10,2020/06/08,RFQ,,,R0.00
5,100,Covid-19 Costs,PPE,Sanitizer,R22 000.00,R22 000.00,,Letodi Facilities & logistics (Pty) Ltd,2017/666152/11,2020/06/09,RFQ,,,R0.00
6,1000,Covid-19 Costs,PPE,Biohazard bags,R4 000.00,R4 000.00,,Letodi Facilities & logistics (Pty) Ltd,2017/666152/12,2020/06/10,RFQ,,,R0.00
7,100,Covid-19 Costs,PPE,Sanitizer,R5 590.00,R5 590.00,,Letodi Facilities & logistics (Pty) Ltd,2017/666152/13,2020/06/11,RFQ,,,R0.00
8,1000,Covid-19 Costs,PPE,Sanitizer,R26 900.00,R26 900.00,,Letodi Facilities & logistics (Pty) Ltd,2017/666152/14,2020/06/12,RFQ,,,R0.00
9,500 packs,Covid-19 Costs,PPE,Sanitizer,R1 945.00,R1 945.00,,Letodi Facilities & logistics (Pty) Ltd,2017/666152/15,2020/06/13,RFQ,,,R0.00
10,25,Covid-19 Costs,PPE,Sanitizer floor units,R28 750.00,R28 750.00,,Letodi Facilities & logistics (Pty) Ltd,2017/666152/16,2020/06/14,RFQ,,,R0.00
