Item,Quantity,Supplier,Value,Delivered,Still to Deliver,GL Account,Cost Centre,Document Date,Receving date,2nd Delivery Date
Surgical Gloves,4000,Inhlanhla Ga Tshwarelo,"R7,200.00","R7,200",0,400020,BI10,12.03.2020,01.04.2020,31.05.2020
Filtering Mask,1000,Inhlanhla Ga Tshwarelo,"R26,500.00","R26,500",0,400020,BI10,12.03.2020,01.04.2020,
Disposable Gowns,1000,Inhlanhla Ga Tshwarelo,"R28,000.00","R28,000",0,400020,BI10,12.03.2020,01.04.2020,
Hand Sanitizers(75ml),1000,Bidvest Steiner,"R11,500.00","R5,750.00",0,400020,HC50,12.03.2020,30.06.2020,
Hand Sanitizers(350ml),3000,Bidvest Steiner,"R137,160.00","R137,160",0,400020,HC50,12.03.2020,30.06.2020,
Surface Wipes,3000,Bidvest Steiner,"R282,900.00","R273,543.60",0,400020,HC50,12.03.2020,30.06.2020,
Filtering Mask,3000,Lechoba Medical Technology,"R177,000.00","R177,000.00",0,451070,LO10,25.03.2020,28.04.2020,
Hand Sanitizers(500ml),5000,Lechoba Medical Technology,"R273,390.00","R273,390.00",0,451070,LO10,25.03.2020,23.04.2020,
Infrared  Thermometer,20,Lechoba Medical Technology,"R26,979.80","R26,979.80",0,451070,LO10,15.04.2020,16.04.2020,
Infrared  Thermometer,60,NEW AGE MEDIDENT,"R100,050.00","R100,050.00",0,400020,HC50,08.05.2020,31.05.2020,
KN95 Masks,1000,KLEVAS ACCESSORIES (PTY)LTD,"R37,375.00","R37,375.00",0,400020,LO10,20.05.2020,22.05.2020,
Medical Gowns,1000,KLEVAS ACCESSORIES (PTY)LTD,"R109,250.00","R109,250.00",0,400086,HC50,25.05.2020,25.05.2020,
Cloth Mask,4000,FORTISTLE,"R75,900.00","R75,900.00",0,400020,LO10,20.05.2020,29.05.2020,
Disposable Gloves,10000,K2020022611 (PTY) LTD,"R36,000.00","R36,000.00",0,400020,LO10,20.05.2020,21.05.2020,
Disposable Coverall,190,Modasharo Suppliers (PTY) LTD,"R43,700.00","R43,700.00",0,400085,LO10,11.06.2020,26.06.2020,
Goggles,500,Modasharo Suppliers (PTY) LTD,"R40,250.00","R40,250.00",0,400085,LO10,11.06.2020,26.06.2020,
FFP2 RESPIRATOR,1200,Modasharo Suppliers (PTY) LTD,"R64,170.00","R64,170.00",0,400085,LO10,11.06.2020,26.06.2020,
Disposable Gloves,1000,Modasharo Suppliers (PTY) LTD,"R4,025.00","R4,025.00",0,400085,LO10,11.06.2020,26.06.2020,
