Vote,Department,Description,Entity Name,CSD Supplier Number,Payment Amount,Commitment Amount,Total Expenditure
1,Vote 1 : Premier,Headsets purchases,ALTITUDE,MAAA0122206 ,"R321,073.79 ",R0.00 ,"R321,073.79 "
1,Vote 1 : Premier,THERMOMETER,ASSUR DEVELOPERS,MAAA0589528 ,"R216,000.00 ",R0.00 ,"R216,000.00 "
1,Vote 1 : Premier,"Disinfectant wipes, 500 tubs",BrainPlay,MAAA0274010 ,"R10,472.00 ",R0.00 ,"R10,472.00 "
1,Vote 1 : Premier,LTE Connectivity,Business connection,MAAA0001820 ,R0.00 ,"R333,155.00 ","R333,155.00 "
1,Vote 1 : Premier,LTE Connectivity,Business connection,MAAA0001820 ,R0.00 ,"R229,425.00 ","R229,425.00 "
1,Vote 1 : Premier,LTE Connectivity,Business connection,MAAA0001820 ,R0.00 ,"R103,730.00 ","R103,730.00 "
1,Vote 1 : Premier,Laptops and onsight,CHM VUWANI,MAAA0393512 ,"R983,130.68 ",R0.00 ,"R983,130.68 "
1,Vote 1 : Premier,Wireless access points,Dimension Data,MAAA0023731 ,"R601,900.87 ",R0.00 ,"R601,900.87 "
1,Vote 1 : Premier,SERVICE; RADIO BROADCAST,FCB CAPE TOWN,MAAA0236791 ,"R59,541.25 ",R0.00 ,"R59,541.25 "
1,Vote 1 : Premier,SERVICE; DESIGN AND LAYOUT ACTION,FCB CAPE TOWN,MAAA0236791 ,R0.00 ,"R41,249.99 ","R41,249.99 "
1,Vote 1 : Premier,SERVICE; DESIGN AND LAYOUT ACTION,FCB CAPE TOWN,MAAA0236791 ,R0.00 ,"R384,499.51 ","R384,499.51 "
1,Vote 1 : Premier,CONTRACTORS,FCB CAPE TOWN,MAAA0236791 ,"R203,106.20 ",R0.00 ,"R203,106.20 "
1,Vote 1 : Premier,SERVICE; RADIO BROADCAST,FCB CAPE TOWN,MAAA0236791 ,"R18,865.17 ",R0.00 ,"R18,865.17 "
1,Vote 1 : Premier,PRINTING,FCB CAPE TOWN,MAAA0236791 ,"R111,793.40 ",R0.00 ,"R111,793.40 "
1,Vote 1 : Premier,ADVERTISEMENT,FCB CAPE TOWN,MAAA0236791 ,R0.00 ,"R100,000.00 ","R100,000.00 "
