Name of the Business,Company,Amount,Goods,Date of,Procurement
"",Registration,,,,
"",Number,,Purchased,Procurement,Processes
"",,,(PPEs,,
"",,,,,followed
"",,,procured),,
1.1  Lechoba Medical,2005/044442/07,R 121 502.10,Hand,,Request for
Technologies,,,Sanitizers,,Quotation
"",,,,26/03/2020,
1.2  NJU Projects &,2018/297547/07,R 63 000.00,Body,,Request for
General Trading,,,Temperature,,Quotation
"",,,Thermal,,
"",,,Cameras,08/06/2020,
1.3  Flamingo Moon,2004/020790/07,R 23 460.00,Face Masks,,Request for
Trading,,,,13/05/2020,Quotation
1.4  Esizwe Group,2003/084491/23,R 5 088.00,Comfort Face,,Request for
"",,,Shields,20/05/2020,Quotation
1.5 Fortistle,2018/472346/07,R 48 875.00,Face Masks,,Request for
"",,,,28/05/2020,Quotation
1.6 Tara Healthcare,2019/237077/07,R 22 450.00,Gloves,,Request for
"",,,,27/07/2020,Quotation
1.7 Ayanda,2016/347219/07,R 22 500.00,Comfort Face,,Request for
Multiserve,,,Shields,11/06/2020,Quotation
1.8 Yellotec,2013/231556/07,R 2 591.88,Body,,Request for
"",,,Temperature,,Quotation
"",,,Thermal,,
"",,,Cameras,23/07/2020,
1.9 Motlokwa &,2016/219919/07,R 1 100.00,Spray Bottles,,Request for
Farm Holdings,,,(empty),,Quotation
"",,,,11/06/2020,
1.10 Multisurge,2014/170364/07,R13 800.00,Disinfection,,Request for
"",,,Chemical,04/06/2020,Quotation
