Region,Cluster,Responsibility,Supplier,RFQ,hea_Number,PO Printed Date,Sub Category,Item Name,QTY Ordered,QTY Received,PO Status,RFQ Amount
KWAZULU NATAL,EKUVUKENI,LC EKUVUKENI,MAAA0484246  MAGNUM ELECTRICAL LADYSMITH( reg: (2007/181557/23),YES,PON0000GNQ,2019-11-22T14:38:25.287,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,2500
KWAZULU NATAL,ESTCOURT,LC ESTCOURT,MAAA0139847  NZWIBA TRADING( reg: (2012/017520/07),YES,PON0000KHK,2020-01-27T11:00:40.630,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,10000
WESTERN CAPE,PAARL,LC PAARL,MAAA0076192  TERMINIX( reg: (1997/039191/23),YES,PON0000KJM,2020-01-27T14:11:28.083,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,1955
LIMPOPO,MALAMULELE,LC MALAMULELE,MAAA0449759  TSAMAKH TRADING ENTERPRISE( reg: (2008/054414/23),YES,PON0000L0T,2020-02-03T08:46:10.157,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,58,1,Completed,35264
NORTH WEST,KLERKSDORP,LC STILFONTEIN,MAAA0014257  BUSINGHATHA TRADING ENTERPRISE( reg: (2011/139977/07),YES,PON0000LWX,2020-02-13T10:56:33.453,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,18000
LIMPOPO,PIETERSBURG,LC POLOKWANE/PIETERSBURG,MAAA0836647  AMMARENTIA TRADING PROJECTS( reg: (2019/399695/07),YES,PON0000M26,2020-02-14T12:46:33.683,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,46,1,Completed,6881.6
WESTERN CAPE,STATE LAW ADVISORS,STATE LAW ADVISORS - CAPE TOWN,MAAA0079199  PEST RELIEVERS( reg: (2002/051888/23),YES,PON0000MBP,2020-02-19T12:22:16.470,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,1667.5
EASTERN CAPE,STATE ATORNEY BISHO,STATE ATTORNEY: EAST LONDON,MAAA0535386  ZR TRADING AND PROJECTS( reg: (2013/010472/07),YES,PON0000MLD,2020-02-24T15:19:23.760,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,14975
WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0122688  SHANAAZ PETERSEN( reg: (6901280160089),YES,POO00000P1,2020-05-12T12:29:38.457,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,1800
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0783481  ECOWIZE( reg: (1968/014669/07),YES,POO00001NC,2020-06-01T16:28:32.107,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,28750
