No,Item Description,Quantity,Amount,Name Of Supplier,COMPANY DIRECTOR
1,"Surgical Mask 50p/box (3ply, single-use)",8,"R         10,660.00",Biolgica Pharmaceuticals PTY LTD,
2,Hand Sanitizer 70% Alcohol base 5lt refill,31,"R        60,450.00",Biolgica Pharmaceuticals PTY LTD,
3,Surgical Gloves,70,"R         32,200.00",Biolgica Pharmaceuticals PTY LTD,
4,"Surgical Mask 50p/box (3ply, single-use)",42,"R        55,965.00",Biolgica Pharmaceuticals PTY LTD,
5,Hand Sanitizer 70% Alcohol base 5lt refill,90,"R      175,500.00",Biolgica Pharmaceuticals PTY LTD,
6,Hand Sanitizer 70% Alcohol base 500ml,50,"R         17,500.00",Biolgica Pharmaceuticals PTY LTD,
7,Nitrile (Latex free) Gloves 300p/box,67,"R        19,529.83",Henry Schein Dental Warehouse,
8,Hand Sanitizer 70% Alcohol,30,"R           2,699.70",Masana Cleaning Services,
9,Cloth Masks,740,"R         36,992.60",PLUS-FAB,
10,"Digital Body Thermometer (infrared, non contact",25,"R         43,750.00",Motla Investments,
11,Adjustable Face Shield,500,"R        12,650.00",Allenco Medicals and Dental Suppliers,
12,Crime Scene PPE Kits,600,"R         65,484.00",KTF Africa,
13,Post Mortem Kits,1000,"R118,248.80",KTF Africa,
14,Disinfection Spray Bottles (500ml),110,"R           8,800.00",Happy Feet Limited,
15,Disinfection Spray Bottles (5l),20,"R           9,000.00",Happy Feet Limited,
16,Cleaning Cloths,400,"R         39,192.00",Happy Feet Limited,
17,"Digital Body Thermometer (infrared, non contact",56,"R112,700.00",JD Strategic Investment,
18,Hand Sanitisers with 70% alcohol (5l),60,"R        28,960.20",Logan Medical & Surgical,
19,Disinfection of National Office,1,"R         44,656.00",Masana Cleaning Services,
20,Disinfection of Provincial and Satellite offices,13,"R      239,469.75",SSG Cleaning,
21,Disinfection of WC Provincial Office,1,"R         20,816.60",SSG Cleaning,
22,Disinfection of EC Provincial Office,1,"R        20,816.60",SSG Cleaning,
23,Disinfection of EC Provincial Office,1,"R         18,420.76",SSG Cleaning,
24,Disinfection of KZN Provincial Office,1,"R        20,816.60",SSG Cleaning,
