Entity,Covid-19 related costs,PPEs,Total,,,,,,,,
Accounting Standards Board,3006.29,2267.00,5273.29,,,,,,,,
Cooperative Banks Development Agency,-,-,-,,,,,,,,
Development Banks of Sourthern Africa,1647237.00,178692.00,1825929.00,,,,,,,,
Financial and Fiscal Commission,102279.16,31902.50,134181.66,,,,,,,,
Financial Intellegence Centre,56158.70,214036.29,270194.99,,,,,,,,
Financial Sector Conduct Authority,47772.61,294111.59,341884.20,,,,,,,,
Government Pensions Administration Agency,1838691.31,3672782.27,5511473.58,,,,,,,,
Government Technical Advisory Centre,165385.81,27500.00,192885.81,,,,,,,,
Independent Regulatory Board of Auditors,20095.00,27807.03,47902.03,,,,,,,,
Land and Africultural Bank of South Africa,216145.00,179677.00,395822.00,,,,,,,,
Office of the Ombud for Financial Services Providers,14398.00,1980.00,16378.00,,,,,,,,
Office of the Pension Fund Adjudicator,51094.49,151740.41,202834.90,,,,,,,,
Office of the Tax Ombud*,-,-,-,,,,,,,,
Public Investment Corporation,190992.00,145229.00,336221.00,,,,,,,,
South African Revenue Service,55344.00,35100585.32,35155929.32,,,,,,,,
SASRIA*,-,-,-,,,,,,,,
TOTAL,44085994 0028310,"44,436,909.78",,,,,,,,,
,,Costs  on Covid-19 Activities,Costs on PPE's,Total Value,,,,,,,
"Entitie
s","Date of
appointment",Goods/Services,"Procurement
process","Company
appointed",Value,,"Date of
procurement",PPE procured,"Company
appointed","Company
registration
number",Value
ASB,"28-May-20
Top up for
May, Jun &
July
15-Jul-20
30-Jun-20","COVID-19 Posters
MTN Topup Data -
Remote working
Zoom Virtual meetings
license
Printer Cardridge-
Working remotely","Qutations
Excisting
contract
-","UVO
Communications
MTN
ZOOM
-","414.00
2104.00
259.29
229.00",,"8-May-20
30-Jun-20","Infrared Themometer
3 Ply face masks","Alphabet Soup
Takealot
(AfriSolar (Pty)
Ltd)","Quotations
Quotations","1897.00
370.00"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total,,3006.29,,Total,,2267.00,5273.29,,,,
CBDA,,No costs incurred for Covid-19 related activities,,No costs incurred related to PPE's,,,,,,,
